([3, 1], [5, 3])0.010638297872340427
([7, 5], [8, 5])0.1827956989247312
([9, 5], [5, 3])0.0
([0, 2], [4, 3])0.0
([1, 2], [1, 2])0.24999999999999997
([4, 3], [6, 5])0.0
([5, 4], [1, 0])0.0
([4, 5], [2, 3])0.0
([2, 4], [4, 3])0.0
([7, 5], [6, 4])0.10752688172043011
([6, 5], [4, 5])0.0
([2, 1], [6, 3])0.0
([4, 3], [5, 5])0.0
([4, 5], [0, 0])0.0
([7, 5], [5, 4])0.01075268817204301
([2, 1], [5, 3])0.0
([1, 1], [4, 4])0.0
([0, 0], [7, 4])0.0
([8, 5], [8, 4])0.031914893617021274
([4, 3], [3, 3])0.10526315789473682
([8, 4], [1, 1])0.0
([5, 3], [2, 2])0.0
([4, 3], [4, 2])0.0
([4, 3], [8, 5])0.0
([0, 1], [0, 1])0.19791666666666666
([3, 1], [3, 1])0.031914893617021274
([9, 5], [3, 1])0.0
([5, 5], [1, 1])0.0
([4, 4], [7, 5])0.0
([7, 5], [8, 4])0.0
([7, 4], [1, 1])0.0
([5, 4], [4, 5])0.0
([0, 0], [2, 3])0.0
([4, 3], [6, 4])0.03157894736842105
([8, 4], [6, 5])0.0
([0, 0], [0, 0])0.21874999999999997
([6, 5], [4, 4])0.0
([8, 5], [1, 2])0.0
([4, 3], [5, 4])0.21052631578947364
([8, 4], [5, 5])0.0
([2, 1], [3, 1])0.021052631578947368
([4, 2], [0, 2])0.0
([5, 5], [6, 5])0.32631578947368417
([3, 2], [2, 1])0.0
([3, 1], [3, 4])0.0
([7, 4], [6, 5])0.010526315789473684
([9, 5], [3, 4])0.0
([8, 4], [3, 3])0.0
([3, 4], [1, 3])0.0
([5, 5], [5, 5])0.32631578947368417
([6, 4], [1, 0])0.0
([7, 5], [1, 2])0.0
([8, 4], [4, 2])0.0
([1, 1], [1, 1])0.17708333333333334
([7, 4], [5, 5])0.0
([1, 3], [2, 2])0.0
([1, 2], [7, 5])0.0
([4, 3], [8, 4])0.0
([8, 4], [8, 5])0.17204301075268819
([4, 4], [7, 4])0.0
([0, 2], [1, 3])0.14893617021276598
([5, 5], [3, 3])0.0
([2, 2], [2, 1])0.0
([1, 0], [1, 0])0.0
([2, 1], [3, 4])0.0
([7, 4], [3, 3])0.0
([5, 4], [4, 4])0.12765957446808507
([5, 5], [4, 2])0.0
([2, 4], [1, 3])0.01075268817204301
([7, 4], [4, 2])0.0
([8, 4], [6, 4])0.043010752688172046
([6, 3], [2, 2])0.0
([3, 2], [2, 4])0.0
([3, 3], [0, 2])0.0
([4, 2], [4, 3])0.4148936170212766
([1, 1], [6, 5])0.0
([5, 5], [8, 5])0.0
([8, 4], [5, 4])0.0
([7, 4], [8, 5])0.09473684210526315
([1, 1], [5, 5])0.0
([5, 5], [6, 4])0.03157894736842105
([6, 5], [1, 1])0.0
([4, 4], [2, 3])0.0
([3, 4], [6, 3])0.0
([7, 4], [6, 4])0.27368421052631575
([4, 3], [1, 2])0.0
([6, 4], [4, 5])0.0
([2, 2], [2, 4])0.0
([4, 4], [0, 0])0.0
([5, 5], [5, 4])0.1789473684210526
([2, 3], [0, 2])0.0
([3, 4], [5, 3])0.0
([7, 4], [5, 4])0.021052631578947368
([1, 1], [3, 3])0.0
([1, 2], [7, 4])0.0
([1, 1], [4, 2])0.0
([0, 2], [6, 3])0.0
([8, 4], [8, 4])0.3118279569892473
([1, 0], [4, 5])0.0
([8, 5], [7, 5])0.2553191489361702
([2, 4], [6, 3])0.0
([3, 3], [4, 3])0.27368421052631575
([0, 2], [5, 3])0.0
([1, 1], [8, 5])0.0
([6, 5], [6, 5])0.4105263157894737
([2, 4], [5, 3])0.0
([6, 5], [5, 5])0.0736842105263158
([1, 1], [6, 4])0.0
([5, 5], [8, 4])0.0
([5, 4], [1, 1])0.0
([7, 4], [8, 4])0.0631578947368421
([1, 2], [2, 3])0.19791666666666666
([7, 5], [7, 5])0.47311827956989244
([3, 1], [9, 5])0.0
([5, 3], [1, 0])0.0
([1, 1], [5, 4])0.0
([9, 5], [9, 5])0.4731182795698925
([1, 2], [0, 0])0.0
([2, 3], [4, 3])0.06382978723404255
([4, 5], [0, 1])0.0
([6, 5], [3, 3])0.0
([6, 4], [4, 4])0.010638297872340427
([8, 4], [1, 2])0.0
([6, 5], [4, 2])0.0
