[6, 3][7, 4]0.14
[6, 3][7, 5]0.0
[6, 3][8, 4]0.01
[6, 3][8, 5]0.0
[6, 3][9, 5]0.0
[6, 4][0, 0]0.0
[6, 4][0, 1]0.0
[6, 4][0, 2]0.0
[6, 4][1, 0]0.0
[6, 4][1, 1]0.0
[6, 4][1, 2]0.0
[6, 4][1, 3]0.0
[6, 4][2, 1]0.0
[6, 4][2, 2]0.0
[6, 4][2, 3]0.0
[6, 4][2, 4]0.0
[6, 4][3, 1]0.0
[6, 4][3, 2]0.0
[6, 4][3, 3]0.0
[6, 4][3, 4]0.0
[6, 4][4, 2]0.0
[6, 4][4, 3]0.0
[6, 4][4, 4]0.01
[6, 4][4, 5]0.0
[6, 4][5, 3]0.0
[6, 4][5, 4]0.19
[6, 4][5, 5]0.0
[6, 4][6, 3]0.0
[6, 4][6, 4]0.44
[6, 4][6, 5]0.07
[6, 4][7, 4]0.13
[6, 4][7, 5]0.09
[6, 4][8, 4]0.0
[6, 4][8, 5]0.01
[6, 4][9, 5]0.0
[6, 5][0, 0]0.0
[6, 5][0, 1]0.0
[6, 5][0, 2]0.0
[6, 5][1, 0]0.0
[6, 5][1, 1]0.0
[6, 5][1, 2]0.0
[6, 5][1, 3]0.0
[6, 5][2, 1]0.0
[6, 5][2, 2]0.0
[6, 5][2, 3]0.0
[6, 5][2, 4]0.0
[6, 5][3, 1]0.0
[6, 5][3, 2]0.0
[6, 5][3, 3]0.0
[6, 5][3, 4]0.0
[6, 5][4, 2]0.0
[6, 5][4, 3]0.0
[6, 5][4, 4]0.0
[6, 5][4, 5]0.0
[6, 5][5, 3]0.0
[6, 5][5, 4]0.09
[6, 5][5, 5]0.07
[6, 5][6, 3]0.0
[6, 5][6, 4]0.13
[6, 5][6, 5]0.39
[6, 5][7, 4]0.01
[6, 5][7, 5]0.24
[6, 5][8, 4]0.0
[6, 5][8, 5]0.02
[6, 5][9, 5]0.0
[7, 4][0, 0]0.0
[7, 4][0, 1]0.0
[7, 4][0, 2]0.0
[7, 4][1, 0]0.0
[7, 4][1, 1]0.0
[7, 4][1, 2]0.0
[7, 4][1, 3]0.0
[7, 4][2, 1]0.0
[7, 4][2, 2]0.0
[7, 4][2, 3]0.0
[7, 4][2, 4]0.0
[7, 4][3, 1]0.0
[7, 4][3, 2]0.0
[7, 4][3, 3]0.0
[7, 4][3, 4]0.0
[7, 4][4, 2]0.0
[7, 4][4, 3]0.0
[7, 4][4, 4]0.0
[7, 4][4, 5]0.0
[7, 4][5, 3]0.0
[7, 4][5, 4]0.02
[7, 4][5, 5]0.0
[7, 4][6, 3]0.0
[7, 4][6, 4]0.26
[7, 4][6, 5]0.01
[7, 4][7, 4]0.38
[7, 4][7, 5]0.13
[7, 4][8, 4]0.06
[7, 4][8, 5]0.09
[7, 4][9, 5]0.0
[7, 5][0, 0]0.0
[7, 5][0, 1]0.0
[7, 5][0, 2]0.0
[7, 5][1, 0]0.0
[7, 5][1, 1]0.0
[7, 5][1, 2]0.0
[7, 5][1, 3]0.0
[7, 5][2, 1]0.0
[7, 5][2, 2]0.0
[7, 5][2, 3]0.0
[7, 5][2, 4]0.0
[7, 5][3, 1]0.0
[7, 5][3, 2]0.0
[7, 5][3, 3]0.0
[7, 5][3, 4]0.0
[7, 5][4, 2]0.0
[7, 5][4, 3]0.0
[7, 5][4, 4]0.0
[7, 5][4, 5]0.0
[7, 5][5, 3]0.0
[7, 5][5, 4]0.01
[7, 5][5, 5]0.0
[7, 5][6, 3]0.0
[7, 5][6, 4]0.1
[7, 5][6, 5]0.14
[7, 5][7, 4]0.07
[7, 5][7, 5]0.44
[7, 5][8, 4]0.0
[7, 5][8, 5]0.17
[7, 5][9, 5]0.0
[8, 4][0, 0]0.0
[8, 4][0, 1]0.0
[8, 4][0, 2]0.0
[8, 4][1, 0]0.0
[8, 4][1, 1]0.0
[8, 4][1, 2]0.0
[8, 4][1, 3]0.0
[8, 4][2, 1]0.0
[8, 4][2, 2]0.0
[8, 4][2, 3]0.0
[8, 4][2, 4]0.0
[8, 4][3, 1]0.0
[8, 4][3, 2]0.0
[8, 4][3, 3]0.0
[8, 4][3, 4]0.0
[8, 4][4, 2]0.0
[8, 4][4, 3]0.0
[8, 4][4, 4]0.0
[8, 4][4, 5]0.0
[8, 4][5, 3]0.0
[8, 4][5, 4]0.0
[8, 4][5, 5]0.0
[8, 4][6, 3]0.0
[8, 4][6, 4]0.04
[8, 4][6, 5]0.0
[8, 4][7, 4]0.33
[8, 4][7, 5]0.04
[8, 4][8, 4]0.29
[8, 4][8, 5]0.16
[8, 4][9, 5]0.07
[8, 5][0, 0]0.0
[8, 5][0, 1]0.0
[8, 5][0, 2]0.0
[8, 5][1, 0]0.0
[8, 5][1, 1]0.0
[8, 5][1, 2]0.0
[8, 5][1, 3]0.0
[8, 5][2, 1]0.0
[8, 5][2, 2]0.0
[8, 5][2, 3]0.0
[8, 5][2, 4]0.0
[8, 5][3, 1]0.0
[8, 5][3, 2]0.0
[8, 5][3, 3]0.0
[8, 5][3, 4]0.0
[8, 5][4, 2]0.0
[8, 5][4, 3]0.0
[8, 5][4, 4]0.0
[8, 5][4, 5]0.0
[8, 5][5, 3]0.0
[8, 5][5, 4]0.0
[8, 5][5, 5]0.0
[8, 5][6, 3]0.0
[8, 5][6, 4]0.01
[8, 5][6, 5]0.01
[8, 5][7, 4]0.08
[8, 5][7, 5]0.24
[8, 5][8, 4]0.03
[8, 5][8, 5]0.45
[8, 5][9, 5]0.12
[9, 5][0, 0]0.0
[9, 5][0, 1]0.0
[9, 5][0, 2]0.0
[9, 5][1, 0]0.0
[9, 5][1, 1]0.0
[9, 5][1, 2]0.0
[9, 5][1, 3]0.0
[9, 5][2, 1]0.0
[9, 5][2, 2]0.0
[9, 5][2, 3]0.0
[9, 5][2, 4]0.0
[9, 5][3, 1]0.0
[9, 5][3, 2]0.0
[9, 5][3, 3]0.0
[9, 5][3, 4]0.0
[9, 5][4, 2]0.0
[9, 5][4, 3]0.0
[9, 5][4, 4]0.0
[9, 5][4, 5]0.0
[9, 5][5, 3]0.0
[9, 5][5, 4]0.0
[9, 5][5, 5]0.0
[9, 5][6, 3]0.0
[9, 5][6, 4]0.0
[9, 5][6, 5]0.0
[9, 5][7, 4]0.02
[9, 5][7, 5]0.03
[9, 5][8, 4]0.05
[9, 5][8, 5]0.39
[9, 5][9, 5]0.44
